ACALD,HSK
ACALD,THRS
ADK2,GLKKpppi
AGPAT180,ACOAAGPAT180
AKGS,SUCCt2r
ASNt2r,ASNS1
CTPS1,CTPS2
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
DHPS,DHNPA2
DHPS,DHPS2
DHPS,HPPK2
DMPPS,DMPPS2r
FRD7,SUCD1
FRD7,SUCD4
FTHFL,MTHFC
FTHFL,MTHFD
GALU,GALT
GAPD,FORt
GAPD,PHEt2r
GART,GARFTi
GCALDt,GCALDD
GCALDt,GLXCL
GCALDt,GLYCLTDxr
GCALDt,TRSARr
GCALDt,r0339
GHMT2r,MTHFC
GHMT2r,MTHFD
GK1,GK2
GLUOX,GLNS
GLYK,GLYCt
HISt2r,ATPPRT
HISt2r,HISTP
HISt2r,HSTPTr
HISt2r,IG3PS
HISt2r,IGPDH
HISt2r,PRAMPC
HISt2r,PRATPP
HISt2r,PRMICI
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
KARA2,23DHMPO
KARA2,2AHBUTI
Kt3r,ZNabc
LARGNAT,CHORM
LEUt2r,LEUabc
MGt5,MG2abc
NACt2r,NACabc
NADK,NADK2
NADS1,NADS2
NDPK1,ADK3
NDPK2,UTPATPT
NDPK4,ADK10
PFL,GARFTi
PFL,MTHFC
PFL,MTHFD
PGCDr,MTHFC
PGCDr,MTHFD
PGK,FORt
PGK,PHEt2r
PGMT,GALK
PGMT,UDPG4E
PPNCL3,r0671
PSERT,MTHFC
PSERT,MTHFD
PSP_L,MTHFC
PSP_L,MTHFD
PYDXK,PLPS
PYDXtr,PLPS
THRAr,HSK
THRAr,THRS
THRD_L,CYSDS
THRD_L,HSST
THRD_L,SHSL2
TRPt2r,ANPRT
TRPt2r,IGPS
TRPt2r,PRAI
TYRt2r,CHORM
URIDK3,DUTPDP
VALTA,ALAt2r
VPAMTr,ALAt2r
ZN2t4,ZNabc
r0792,METFR
ACtr,ACKr
CYSt2r,AMPTASECG
CYSt2r,CGLYabc
ENO,ASNt2r
GAPD,ACKr
GAPD,ACtr
GAPD,ASNt2r
GAPD,CO2t
GHMT2r,FTHFL
H2Ot,GAPD
LARGNAT,GAPD
NH4tb,GAPD
OAASr,AKGS
PFL,GAPD
PFL,GHMT2r
PGCDr,FTHFL
PGCDr,GHMT2r
PGCDr,PFL
PGK,ACKr
PGK,ACtr
PGK,ASNt2r
PGK,CO2t
PGK,H2Ot
PGK,LARGNAT
PGK,NH4tb
PGK,PFL
PGM,ASNt2r
PPCr,ASNt2r
PPCr,GAPD
PPCr,PGK
PSERT,FTHFL
PSERT,GHMT2r
PSERT,PFL
PSP_L,FTHFL
PSP_L,GHMT2r
PSP_L,PFL
PTAr,ACtr
PTAr,GAPD
PTAr,PGK
TKT1,TALA
TYRt2r,GAPD
TYRt2r,LARGNAT
TYRt2r,PGK
VPAMTr,VALTA
ZN2t4,Kt3r
r0127,ENO
r0127,GAPD
r0127,PGK
r0127,PGM
r0127,PPCr
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
