ACOAAGPAT180,AGPAT180
ADK2,GLKKpppi
AHMMPS,AMPMS2
ASPTA,PHEt2r
CTPS1,CTPS2
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
FE3abc,FERO
FRD7,SUCD1
FRD7,SUCD4
G3PD1,G3PD2
G6PDA,NH4tb
GALU,GALT
GART,GARFTi
GK1,GK2
GLUDy,GLNS
GLUOX,GLNS
GLYCt,ALCD19
GLYCt,ALDD8x
GLYCt,r0339
HISt2r,ATPPRT
HISt2r,HISTP
HISt2r,HSTPTr
HISt2r,IG3PS
HISt2r,IGPDH
HISt2r,PRAMPC
HISt2r,PRATPP
HISt2r,PRMICI
HMPK1,AMPMS2
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
KARA2,23DHMPO
KARA2,2AHBUTI
Kt3r,ZNabc
LARGNAT,CHORM
MGt5,MG2abc
NACt2r,ASPO5
NACt2r,NNDPR
NACt2r,QULNS
NADK,NADK2
NADS1,NADS2
NAPRT,ASPO5
NAPRT,NNDPR
NAPRT,QULNS
NDPK2,UTPATPT
NDPK4,ADK10
OCDCAtr,OCDCAt2
PGK,ACYP
PGMT,GALK
PGMT,UDPG4E
PIt6b,PIabc
PPA,PPIt2e
PYDXK,PLPS
PYDXtr,PLPS
RNDR2,RNTR2
RNTR1,RNDR1
RNTR3,RNDR3
RPI,TKT1
TALA,TKT1
THRAr,HSK
THRAr,THRS
THRD_L,CYSDS
THRD_L,HSST
THRD_L,SHSL2
TRPt2r,ANPRT
TRPt2r,IGPS
TRPt2r,PRAI
TTDCAtr,TTDCAt2
TYRt2r,CHORM
URIDK3,DUTPDP
ZN2t4,ZNabc
r0792,METFR
ACtr,ACKr
CYSt2r,AMPTASECG
DMPPS2r,DMPPS
FE3abc,AHMMPS
HMPK1,FE3abc
LARGNAT,ASPTA
NAPRT,NACt2r
OAASr,AKGS
PGK,ACKr
PGK,ACtr
PTAr,ACtr
SUCCt2r,AKGS
TALA,RPI
TPI,RPE
TYRt2r,ASPTA
TYRt2r,LARGNAT
ZN2t4,Kt3r
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
