AGPAT180,ACOAAGPAT180
AHMMPS,AMPMS2
ASPTA,PHEt2r
CTPS1,CTPS2
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
FE3abc,FERO
FRD7,SUCD1
FRD7,SUCD4
GALU,GALT
GART,GARFTi
GLKKpppi,ADK2
GLUDy,GLNS
GLUOX,GLNS
HISt2r,ATPPRT
HISt2r,HISTP
HISt2r,HSTPTr
HISt2r,IG3PS
HISt2r,IGPDH
HISt2r,PRAMPC
HISt2r,PRATPP
HISt2r,PRMICI
HMPK1,AMPMS2
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
KARA2,23DHMPO
KARA2,2AHBUTI
Kt3r,ZNabc
LARGNAT,CHORM
MGt5,MG2abc
NACt2r,ASPO5
NACt2r,NNDPR
NACt2r,QULNS
NADK,NADK2
NADS1,NADS2
NAPRT,ASPO5
NAPRT,NNDPR
NAPRT,QULNS
NDPK2,UTPATPT
NDPK4,ADK10
PGK,ACYP
PGMT,GALK
PGMT,UDPG4E
PIt6b,PIabc
PPA,PPIt2e
PYDXK,PLPS
PYDXtr,PLPS
RNDR2,RNTR2
RNTR1,RNDR1
RNTR3,RNDR3
THRAr,HSK
THRAr,THRS
THRD_L,CYSDS
THRD_L,HSST
THRD_L,SHSL2
TRPt2r,ANPRT
TRPt2r,IGPS
TRPt2r,PRAI
TYRt2r,CHORM
URIDK3,DUTPDP
ZN2t4,ZNabc
r0792,METFR
ACtr,ACKr
CYSt2r,AMPTASECG
CYSt2r,CGLYabc
DMPPS2r,DMPPS
FE3abc,AHMMPS
HMPK1,FE3abc
LARGNAT,ASPTA
NAPRT,NACt2r
NH4tb,G6PDA
OAASr,AKGS
PTAr,ACtr
SUCCt2r,AKGS
TKT1,TALA
TYRt2r,ASPTA
TYRt2r,LARGNAT
ZN2t4,Kt3r
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
