g.244860.CDS.551,g.244860.CDS.760
g.244860.CDS.383,g.244860.CDS.816
g.244860.CDS.94,g.244860.CDS.143
g.244860.CDS.94,g.244860.CDS.386
g.244860.CDS.1191,g.244860.CDS.89
g.244860.CDS.389,g.244860.CDS.742
g.244860.CDS.651,g.244860.CDS.305
g.244860.CDS.166,g.244860.CDS.1344
g.244860.CDS.642,g.244860.CDS.891
g.244860.CDS.1024,g.244860.CDS.730
g.244860.CDS.1024,g.244860.CDS.36
g.244860.CDS.749,g.244860.CDS.730
g.244860.CDS.940,g.244860.CDS.994
g.244860.CDS.47,g.244860.CDS.1038
g.244860.CDS.1173,g.244860.CDS.250
g.244860.CDS.1411,g.244860.CDS.835
