ACALD,PFL,PTAr
ADA,ADNUC,AHCYSNS_r
ADA,ADNUC,RHCCE
ADK11,DUTPDP,NDPK6
ADK7,GK1,NDPK8
ADNUC,AHCYSNS_r,HXPRT
ADNUC,AHCYSNS_r,INSH
ADNUC,HXPRT,RHCCE
ADNUC,INSH,RHCCE
AGPAT180,FACOAL180,STCOATA
AGPAT180,LPLIPAL1A180,STCOATA
ASPTA,ENO,FUM
ASPTA,ENO,MDH
ASPTA,FUM,PGM
ASPTA,MDH,PGM
CYSDS,ILETA,THRD_L
DHNPA2,DHPS,FOLD3
DHNPA2,DHPS,HPPK
DHPS,DHPS2,FOLD3
DHPS,DHPS2,HPPK
DHPS,FOLD3,HPPK2
DHPS,HPPK,HPPK2
ENO,PPCK,PPCr
F6PE4PL,TALA,TKT2
F6PE4PL,TKT1,TKT2
FBA,FBA2,TPI
FBA2,PFK,TPI
G5SADs,GLNS,GLUOX
G5SDr,GLNS,GLUOX
GALK,GALU,UGLT
GALK,GLCTR4r,PGMT
GALK,PGMT,RAFGH
GALU,UDPG4E,UGLT
GLCTR4r,PGMT,UDPG4E
GLNS,GLU5K,GLUOX
GLNS,GLUOX,P5CRyr
GND,RPE,RPI
HSST,ILETA,THRD_L
ILETA,SHSL2,THRD_L
PGM,PPCK,PPCr
PGMT,RAFGH,UDPG4E
RBK,RPI,TALA
RBK,RPI,TKT1
