ACLS_a,LPAMS
AKGS,SUCCt2r
CSND,CSNt6
CTPS1,CTPS2
DMPPS,DMPPS2r
GAMt2r,GF6PTA
GART,GARFTi
GK1,GK2
GLUDy,GLNS
GLUOX,GLNS
HEX10,GF6PTA
HISt2r,ATPPRT
HISt2r,HISTP
HISt2r,HSTPTr
HISt2r,IG3PS
HISt2r,IGPDH
HISt2r,PRAMPC
HISt2r,PRATPP
HISt2r,PRMICI
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
KARA2,23DHMPO
KARA2,2AHBUTI
Kt3r,ZNabc
LARGNAT,CHORM
LARGNAT,CHORS
LARGNAT,DDPA
LARGNAT,DHQS
LARGNAT,DHQTi
LARGNAT,PSCVT
LARGNAT,SHK3Dr
LARGNAT,SHKK
MGt5,MG2abc
NADK,NADK2
NADS1,NADS2
NDPK1,ADK3
NDPK2,UTPATPT
NDPK4,ADK10
PPM,RBK
PYDXK,PLPS
PYDXtr,PLPS
RNTR1,DADNK
RNTR1,PUNP2
RNTR1,r0345
RNTR2,DGK1
RNTR2,NTD9
RNTR2,PUNP4
RNTR2,r0456
THRAr,HSK
THRAr,THRS
TRPt2r,ANPRT
TRPt2r,CHORS
TRPt2r,DDPA
TRPt2r,DHQS
TRPt2r,DHQTi
TRPt2r,IGPS
TRPt2r,PRAI
TRPt2r,PSCVT
TRPt2r,SHK3Dr
TRPt2r,SHKK
TYRt2r,CHORM
TYRt2r,CHORS
TYRt2r,DDPA
TYRt2r,DHQS
TYRt2r,DHQTi
TYRt2r,PSCVT
TYRt2r,SHK3Dr
TYRt2r,SHKK
UPPRT,CSNt6
ZN2t4,ZNabc
CYSt2r,AMPTASECG
CYSt2r,CGLYabc
LARGNAT,ASPTA
NH4tb,G6PDA
NH4tb,GAMt2r
NH4tb,HEX10
OAASr,AKGS
PDHa,ACLS_a
PHEt2r,ASPTA
TYRt2r,ASPTA
TYRt2r,LARGNAT
ZN2t4,Kt3r
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
