ADK7,GK1,NDPK8
ADK8,NDPK7,RNTR3
ADK9,NDPK5,RNTR2
ADPT,ADSL2r,HXPRT
ADPT,AICART,HXPRT
ADPT,AIRC4,HXPRT
ADPT,GLUPRT,HXPRT
ADPT,H2CO3D,HXPRT
ADPT,HXPRT,IMPC
ADPT,HXPRT,PRAGS
ADPT,HXPRT,PRAIS
ADPT,HXPRT,PRASCSi
ADPT,HXPRT,PRFGS
AICART,HXPRT,XPPT
ARGSL,CBPS,UPPRT
ARGSL,H2CO3D,UPPRT
ARGSSr,CBPS,UPPRT
ARGSSr,H2CO3D,UPPRT
ASAD,CYSTL,SHSL2
ASAD,HSDx,HSDy
ASAD,SHSL1,SHSL2
ASPKi,CYSTL,SHSL2
ASPKi,HSDx,HSDy
ASPKi,SHSL1,SHSL2
ASPO5,ASPO6,NAPRT
ASPO5,NAPRT,THIORDXi
CBPS,G5SADs,UPPRT
CBPS,OCBT,UPPRT
CBPS,ORNTA,UPPRT
CBPS,P5CRyr,UPPRT
DCTPD,RNDR4,RNTR4
ENO,PPCK,PPCr
G5SADs,H2CO3D,UPPRT
H2CO3D,OCBT,UPPRT
H2CO3D,ORNTA,UPPRT
H2CO3D,P5CRyr,UPPRT
HXPRT,IMPC,XPPT
PGM,PPCK,PPCr
RBK,RPI,TALA
RBK,RPI,TKT1
