ACALD,HSK
ACALD,THRS
ACLS_a,LPAMS
AKGS,SUCCt2r
CTPS1,CTPS2
DMPPS,DMPPS2r
FTHFL,PGCDr
FTHFL,PSERT
FTHFL,PSP_L
GALU,GALT
GAPD,FORt
GART,GARFTi
GHMT2r,PGCDr
GHMT2r,PSERT
GHMT2r,PSP_L
GK1,GK2
GLUOX,GLNS
HISt2r,ATPPRT
HISt2r,HISTP
HISt2r,HSTPTr
HISt2r,IG3PS
HISt2r,IGPDH
HISt2r,PRAMPC
HISt2r,PRATPP
HISt2r,PRMICI
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
KARA2,23DHMPO
KARA2,2AHBUTI
Kt3r,ZNabc
LARGNAT,CHORM
LARGNAT,CHORS
LARGNAT,DDPA
LARGNAT,DHQS
LARGNAT,DHQTi
LARGNAT,PSCVT
LARGNAT,SHK3Dr
LARGNAT,SHKK
LEUabc,3MOBS
LEUabc,IPMDr
LEUabc,IPPMIa
LEUabc,IPPMIb
LEUabc,LEUTA
LEUabc,OMCDC
MGt5,MG2abc
MTHFC,PGCDr
MTHFC,PSERT
MTHFC,PSP_L
MTHFD,PGCDr
MTHFD,PSERT
MTHFD,PSP_L
NADK,NADK2
NADS1,NADS2
NAt3_1,PROt4r
NDPK2,UTPATPT
NDPK4,ADK10
PFL,GARFTi
PFL,PGCDr
PFL,PSERT
PFL,PSP_L
PGK,FORt
PPNCL3,r0671
PYDXK,PLPS
PYDXtr,PLPS
RNDR2,RNTR2
RNTR1,RNDR1
RNTR3,RNDR3
THRAr,HSK
THRAr,THRS
THRD_L,CYSDS
THRD_L,CYSTGL
THRD_L,CYSTS
THRD_L,HSST
THRD_L,SHSL2
TRPt2r,ANPRT
TRPt2r,CHORS
TRPt2r,DDPA
TRPt2r,DHQS
TRPt2r,DHQTi
TRPt2r,IGPS
TRPt2r,PRAI
TRPt2r,PSCVT
TRPt2r,SHK3Dr
TRPt2r,SHKK
TYRt2r,CHORM
TYRt2r,CHORS
TYRt2r,DDPA
TYRt2r,DHQS
TYRt2r,DHQTi
TYRt2r,PSCVT
TYRt2r,SHK3Dr
TYRt2r,SHKK
URIDK3,DUTPDP
ZN2t4,ZNabc
CYSt2r,AMPTASECG
CYSt2r,CGLYabc
ENO,ASNt2r
GAPD,ACKr
GAPD,ACtr
GAPD,ASNt2r
GAPD,CO2t
GHMT2r,FTHFL
H2Ot,GAPD
LDH_L,FUM
MDH,LDH_L
MTHFC,FTHFL
MTHFC,GHMT2r
MTHFD,FTHFL
MTHFD,GHMT2r
NDPK1,ADK3
NH4tb,GAPD
OAASr,AKGS
OAASr,LDH_L
PDHa,ACLS_a
PFL,GAPD
PFL,GHMT2r
PFL,MTHFC
PFL,MTHFD
PGK,ACKr
PGK,ACtr
PGK,ASNt2r
PGK,CO2t
PGK,H2Ot
PGK,NH4tb
PGK,PFL
PGM,ASNt2r
PPCr,ASNt2r
PPCr,GAPD
PPCr,PGK
PTAr,GAPD
PTAr,PGK
PYK,GAPD
PYK,PGK
TYRt2r,LARGNAT
ZN2t4,Kt3r
r0127,ENO
r0127,GAPD
r0127,PGK
r0127,PGM
r0127,PPCr
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
