g.239981.CDS.574,g.239981.CDS.1030,g.239981.CDS.1343
g.239981.CDS.750,g.239981.CDS.159,g.239981.CDS.434
g.239981.CDS.750,g.239981.CDS.159,g.239981.CDS.278
g.239981.CDS.750,g.239981.CDS.159,g.239981.CDS.1705
g.239981.CDS.750,g.239981.CDS.159,g.239981.CDS.850
g.239981.CDS.750,g.239981.CDS.362,g.239981.CDS.434
g.239981.CDS.750,g.239981.CDS.362,g.239981.CDS.278
g.239981.CDS.750,g.239981.CDS.362,g.239981.CDS.1705
g.239981.CDS.750,g.239981.CDS.362,g.239981.CDS.850
g.239981.CDS.750,g.239981.CDS.656,g.239981.CDS.434
g.239981.CDS.750,g.239981.CDS.656,g.239981.CDS.278
g.239981.CDS.750,g.239981.CDS.656,g.239981.CDS.1705
g.239981.CDS.750,g.239981.CDS.656,g.239981.CDS.850
g.239981.CDS.750,g.239981.CDS.720,g.239981.CDS.434
g.239981.CDS.750,g.239981.CDS.720,g.239981.CDS.278
g.239981.CDS.750,g.239981.CDS.720,g.239981.CDS.1705
g.239981.CDS.750,g.239981.CDS.720,g.239981.CDS.850
g.239981.CDS.750,g.239981.CDS.963,g.239981.CDS.434
g.239981.CDS.750,g.239981.CDS.963,g.239981.CDS.278
g.239981.CDS.750,g.239981.CDS.963,g.239981.CDS.1705
g.239981.CDS.750,g.239981.CDS.963,g.239981.CDS.850
g.239981.CDS.1805,g.239981.CDS.1011,g.239981.CDS.1140
g.239981.CDS.1805,g.239981.CDS.1344,g.239981.CDS.134
g.239981.CDS.1805,g.239981.CDS.214,g.239981.CDS.1437
g.239981.CDS.1805,g.239981.CDS.1373,g.239981.CDS.1585
g.239981.CDS.1805,g.239981.CDS.280,g.239981.CDS.816
g.239981.CDS.248,g.239981.CDS.214,g.239981.CDS.371
g.239981.CDS.248,g.239981.CDS.214,g.239981.CDS.599
g.239981.CDS.1011,g.239981.CDS.1140,g.239981.CDS.1686
g.239981.CDS.159,g.239981.CDS.434,g.239981.CDS.443
g.239981.CDS.362,g.239981.CDS.434,g.239981.CDS.443
g.239981.CDS.656,g.239981.CDS.434,g.239981.CDS.443
g.239981.CDS.720,g.239981.CDS.434,g.239981.CDS.443
g.239981.CDS.963,g.239981.CDS.434,g.239981.CDS.443
g.239981.CDS.1344,g.239981.CDS.134,g.239981.CDS.1686
g.239981.CDS.161,g.239981.CDS.1819,g.239981.CDS.391
g.239981.CDS.410,g.239981.CDS.190,g.239981.CDS.399
g.239981.CDS.410,g.239981.CDS.475,g.239981.CDS.585
g.239981.CDS.485,g.239981.CDS.1196,g.239981.CDS.884
g.239981.CDS.214,g.239981.CDS.1437,g.239981.CDS.1686
g.239981.CDS.1347,g.239981.CDS.907,g.239981.CDS.371
g.239981.CDS.371,g.239981.CDS.1270,g.239981.CDS.1817
g.239981.CDS.1270,g.239981.CDS.1817,g.239981.CDS.599
g.239981.CDS.902,g.239981.CDS.1196,g.239981.CDS.884
g.239981.CDS.1196,g.239981.CDS.1754,g.239981.CDS.1815
g.239981.CDS.190,g.239981.CDS.399,g.239981.CDS.303
g.239981.CDS.190,g.239981.CDS.399,g.239981.CDS.482
g.239981.CDS.1263,g.239981.CDS.1633,g.239981.CDS.707
g.239981.CDS.1673,g.239981.CDS.627,g.239981.CDS.355
g.239981.CDS.1373,g.239981.CDS.1585,g.239981.CDS.1686
g.239981.CDS.1650,g.239981.CDS.1765,g.239981.CDS.673
g.239981.CDS.1136,g.239981.CDS.1169,g.239981.CDS.1526
