AACPS6,STCOATA
ACALD,ASAD
ACALD,ASPKi
ACALD,HSK
ACALD,THRS
ACOAAGPAT180,AGPAT180
ADK5,NTD4
ALCD19,GLYCt
CITRH,CBPS
CTPS1,CTPS2
CYTK1,NTD4
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
DMPPS,DMPPS2r
G3PD1,G3PD2
GALU,GALT
GAMpts,GF6PTA
GAPD,PFL
GAPD,PHEt2r
GARFTi,GART
GCALDL,GCALDt
GK1,GK2
GLUOX,GLNS
GLYCL,FTHFL
GMPS2,GNNUC
GMPS2,GUAPRT
GMPS2,NTD10
GMPS2,RBK
GMPS2,r1384
HISt2r,ATPPRT
HISt2r,HISTP
HISt2r,HSTPTr
HISt2r,IG3PS
HISt2r,IGPDH
HISt2r,PRAMPC
HISt2r,PRATPP
HISt2r,PRMICI
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
KARA2,23DHMPO
KARA2,2AHBUTI
Kt3r,ZNabc
LARGNAT,CHORM
LEUTA,3MOBS
LEUTA,IPMDr
LEUTA,IPPMIa
LEUTA,IPPMIb
LEUTA,OMCDC
LEUabc,3MOBS
LEUabc,IPMDr
LEUabc,IPPMIa
LEUabc,IPPMIb
LEUabc,OMCDC
MALCOAPYRCT,ACCOACL
MALCOAPYRCT,BTNCLi
METt2r,METabc
MGt5,MG2abc
MTHFC,FTHFL
NACt2r,ASPO5
NACt2r,NNDPR
NACt2r,QULNS
NADK,NADK2
NADS1,NADS2
NAPRT,ASPO5
NAPRT,NNDPR
NAPRT,QULNS
NDPK1,ADK3
NDPK2,UTPATPT
NDPK4,ADK10
OAASr,AKGS
OAASr,SUCOAS
OCBT,CBPS
PGMT,GALK
PGMT,UDPG4E
PPNCL3,r0671
PYDXK,PLPS
PYDXabc,PLPS
RNDR2,RNTR2
RNDR3,RNTR3
RNDR4,RNTR4
RNTR1,RNDR1
SPTc,GCALDt
SUCCt2r,AKGS
SUCCt2r,SUCOAS
THRAr,ASAD
THRAr,ASPKi
THRAr,HSK
THRAr,THRS
THRD_L,ASAD
THRD_L,ASPKi
THRD_L,CYSDS
THRD_L,CYSTGL
THRD_L,CYSTS
TRPt2r,ANPRT
TRPt2r,IGPS
TRPt2r,PRAI
TYRt2r,CHORM
URIDK3,DUTPDP
ZN2t4,ZNabc
r0792,METFR
ACtr,ACKr
CYSt2r,AMPTASECG
FACOAL180,AACPS6
GAPD,ACKr
GAPD,ACtr
GAPD,ALAt2r
GAPD,CO2t
GAPD,FORt
H2Ot,GAPD
LARGNAT,GAPD
LEUabc,LEUTA
MTHFC,GLYCL
NAPRT,NACt2r
NH4tb,GAPD
PTAr,ACtr
PTAr,GAPD
TKT1,TALA
TYRt2r,GAPD
TYRt2r,LARGNAT
VALTA,ALAt2r
VALTA,GAPD
VPAMTr,ALAt2r
VPAMTr,GAPD
VPAMTr,VALTA
ZN2t4,Kt3r
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
