rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
4036,2018-05-31T16:06:56.524774Z,2019-01-29T09:04:49.914740Z,r0739,Alcohol Dehydrogenase Bile Acid Biosynthesis,nad[c] + xol7ah3[c] <=> h[c] + nadh[c] + xol7ah2al[c] ,1,0.0,,,"PMID:5487878,PMID:6338006,PMID:6379302",,MNXR105375,rxn03282,,,http://identifiers.org/vmhreaction/r0739,,,r0739,R_r0739,,,r0739,Pyruvate metabolism,1,True,True,g.239970.CDS.1496
13115,2018-05-31T16:06:56.524774Z,2019-02-01T14:48:25.779561Z,GLYCt,Glycerol Transport via Channel,glyc[c] <=> glyc[e] ,1,2.0,3A0000000,NCD,PMID:9405233,,MNXR100343,rxn05581,,,http://identifiers.org/vmhreaction/GLYCt,,,GLYCt,,,,GLYCt,"Transport, extracellular",1,True,True,g.239970.CDS.1373
12623,2018-05-31T16:06:56.524774Z,2019-02-01T14:54:48.928264Z,OAASr,"Oxaloacetate synthase, reversible",cit[c] + coa[c] + h[c] <=> accoa[c] + h2o[c] + oaa[c] ,1,,,,,"2.3.3.1,2.3.3.3,4.1.3.7",MNXR1298,rxn00256,,,http://identifiers.org/vmhreaction/OAASr,K01647,COG0372,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,g.239970.CDS.1171
12804,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:44.492982Z,VALTA,Valine Transaminase,akg[c] + val_L[c] <=> 3mob[c] + glu_L[c] ,1,4.0,3A0000269,,"PMID:6933702,PMID:9165094","2.6.1.42, 2.6.1.6",MNXR96230,rxn00903,R01214,,http://identifiers.org/vmhreaction/VALTA,K00826,COG0115,VALTA,R_VALTA,,,VALTA,"Valine, leucine, and isoleucine metabolism",1,True,True,g.239970.CDS.106
10370,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:26.353407Z,ACLS_b,2-Acetolactate pyruvate-lyase (carboxylating),alac_S[c] + thmpp[c] <=> hethmpp[c] + pyr[c] ,1,,,,,2.2.1.6,MNXR70454,rxn02185,,,http://identifiers.org/vmhreaction/ACLS_b,K01652 K01653,COG0028 COG0440,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,g.239970.CDS.1379
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1,False,True,g.239970.CDS.1662
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1,False,True,g.239970.CDS.258
12773,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:48.287585Z,TKT2,Transketolase,e4p[c] + xu5p_D[c] <=> f6p[c] + g3p[c] ,1,0.0,3A0000000,SMP Two reactions for transketolase: TKT1 and TKT2,,2.2.1.1,MNXR104869,rxn00785,R01830,,http://identifiers.org/vmhreaction/TKT2,K00615,COG0021,TKT2,R_TKT2,,,TKT2,Pentose phosphate pathway,1,True,True,g.239970.CDS.112
13888,2018-05-31T16:06:56.524774Z,2019-01-29T09:00:54.113475Z,RMPA2,Rhamnulose-1-phosphate aldolase (xylulose-1-phosphate),xu1p_L[c] -> dhap[c] + gcald[c] ,0,,,,,4.1.2.19,MNXR55400,rxn01308,,,http://identifiers.org/vmhreaction/RMPA2,K01629,COG0235,,,,,,Fructose and mannose metabolism,1,False,True,g.239970.CDS.363
12755,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:09.604682Z,TALA,Transaldolase,g3p[c] + s7p[c] <=> e4p[c] + f6p[c] ,1,0.0,3A0000000,SMP,,2.2.1.2,MNXR104715,rxn01333,R01827,,http://identifiers.org/vmhreaction/TALA,K00616,COG0176,TALA,R_TALA,,Transaldolase_1,TALA,Pentose phosphate pathway,1,True,True,g.239970.CDS.149
12817,2018-05-31T16:06:56.524774Z,2019-02-01T15:01:00.390203Z,r0345,ATP:AMP Phosphotransferase Ec:2.7.4.11,atp[c] + damp[c] <=> adp[c] + dadp[c] ,1,0.0,,,PMID:11768308,2.7.4.11,MNXR68634,rxn01127,,,http://identifiers.org/vmhreaction/r0345,K00939,,r0345,R_r0345,,,,Nucleotide interconversion,1,True,True,g.239970.CDS.1325
12961,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:32.871891Z,ARGSL,Argininosuccinate Lyase,argsuc[c] <=> arg_L[c] + fum[c] ,1,4.0,3A0000269,,"PMID:11747432,PMID:12408190,PMID:3463959",4.3.2.1,MNXR95948,rxn00802,R01086,24023,http://identifiers.org/vmhreaction/ARGSL,K01755 K14681,COG0165 COG1246,ARGSL,R_ARGSL,,Argininosuccinate_lyase,ARGSL,Alanine and aspartate metabolism,1,True,True,g.239970.CDS.367
12299,2018-05-31T16:06:56.524774Z,2019-02-01T14:41:44.036203Z,CTPS2,CTP Synthase (Glutamine),atp[c] + gln_L[c] + h2o[c] + utp[c] -> adp[c] + ctp[c] + glu_L[c] + 2.0 h[c] + pi[c] ,0,4.0,3A0000269,,,6.3.4.2,MNXR96945,rxn00412,R00573,26429,http://identifiers.org/vmhreaction/CTPS2,K01937,COG0504,CTPS2,R_CTPS2,,,CTPS2,Alanine and aspartate metabolism,1,True,True,g.239970.CDS.448
20181,2018-05-31T16:06:56.524774Z,2019-01-29T09:35:05.133294Z,CITRH,L Citrulline N5 carbamoyldihydrolase,citr_L[c] + 2.0 h[c] + h2o[c] <=> co2[c] + nh4[c] + orn[c] ,1,,,,,,MNXR93673,rxn00465,,,http://identifiers.org/vmhreaction/CITRH,,,,,,,,Urea cycle,1,False,True,g.239970.CDS.675
12677,2018-05-31T16:06:56.524774Z,2019-02-01T14:57:08.544768Z,PPA,Inorganic Diphosphatase,h2o[c] + ppi[c] -> h[c] + 2.0 pi[c] ,0,4.0,3A0000269,,"PMID:10542310,PMID:15533045",3.6.1.1,MNXR100808,rxn00001,R00004,24579,http://identifiers.org/vmhreaction/PPA,K01507,COG0221,,R_PPA,,,PPA,Oxidative phosphorylation,1,True,True,g.239970.CDS.1528
13329,2018-05-31T16:06:56.524774Z,2019-01-29T09:23:11.750700Z,r1667,Y+Lat2 Utilized Transport,arg_L[e] + orn[c] <=> arg_L[c] + orn[e] ,1,0.0,,,"PMID:14770309,PMID:14770310",,MNXR30738,rxn10131,,,http://identifiers.org/vmhreaction/r1667,,,r1667,,,,r1667,"Transport, extracellular",1,True,True,g.239970.CDS.1760
13106,2018-05-31T16:06:56.524774Z,2019-02-01T14:48:04.485467Z,GLUPRT,Glutamine Phosphoribosyldiphosphate Amidotransferase,gln_L[c] + h2o[c] + prpp[c] -> glu_L[c] + ppi[c] + pram[c] ,0,4.0,3A0000269,,"PMID:8106516,PMID:8380692,PMID:9108165",2.4.2.14,MNXR100287,rxn00790,R01072,14908,http://identifiers.org/vmhreaction/GLUPRT,K00764,COG0034,GLUPRT,R_GLUPRT,,Amidophosphoribosyltransferase,GLUPRT,Tryptophan metabolism,1,True,True,g.239970.CDS.2
12628,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:14.891234Z,OROTPT,Orotidine-5'-phosphate pyrophosphate phosphoribosyltransferase,orot[c] + prpp[c] -> orot5p[c] + ppi[c] ,0,,,,,2.4.2.10,MNXR69599,rxn01362,,,http://identifiers.org/vmhreaction/OROTPT,K00762 K13421,COG0461,,,,,,Purine synthesis,1,False,True,g.239970.CDS.600
