rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
4036,2018-05-31T16:06:56.524774Z,2019-01-29T09:04:49.914740Z,r0739,Alcohol Dehydrogenase Bile Acid Biosynthesis,nad[c] + xol7ah3[c] <=> h[c] + nadh[c] + xol7ah2al[c] ,1,0.0,,,"PMID:5487878,PMID:6338006,PMID:6379302",,MNXR105375,rxn03282,,,http://identifiers.org/vmhreaction/r0739,,,r0739,R_r0739,,,r0739,Pyruvate metabolism,1.0,True,True,g.31452.CDS.1203
13115,2018-05-31T16:06:56.524774Z,2019-02-01T14:48:25.779561Z,GLYCt,Glycerol Transport via Channel,glyc[c] <=> glyc[e] ,1,2.0,3A0000000,NCD,PMID:9405233,,MNXR100343,rxn05581,,,http://identifiers.org/vmhreaction/GLYCt,,,GLYCt,,,,GLYCt,"Transport, extracellular",1.0,True,True,g.31452.CDS.1631
10327,2018-05-31T16:06:56.524774Z,2019-02-01T14:36:44.174876Z,3MOBS,3-methyl-2-oxobutanoate synthase,3c3hmp[c] + coa[c] + h[c] <=> 3mob[c] + accoa[c] + h2o[c] ,1,,,,,"2.3.3.13,4.1.3.12",MNXR3135,rxn00902,,,http://identifiers.org/vmhreaction/3MOBS,K01649,COG0119,,,,,,"Valine, leucine, and isoleucine metabolism",1.0,False,True,1254439.12.peg.1627
12804,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:44.492982Z,VALTA,Valine Transaminase,akg[c] + val_L[c] <=> 3mob[c] + glu_L[c] ,1,4.0,3A0000269,,"PMID:6933702,PMID:9165094","2.6.1.42, 2.6.1.6",MNXR96230,rxn00903,R01214,,http://identifiers.org/vmhreaction/VALTA,K00826,COG0115,VALTA,R_VALTA,,,VALTA,"Valine, leucine, and isoleucine metabolism",1.0,True,True,1254439.12.peg.982
10079,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:56.440995Z,TREpts,Trehalose transport via PEP:Pyr PTS,pep[c] + tre[e] -> pyr[c] + tre6p[c] ,0,,,,,2.7.1.69,MNXR5126,rxn02005,,,http://identifiers.org/vmhreaction/TREpts,K02817 K02818 K02819,COG2190 COG1264 COG1263,,,,,,"Transport, extracellular",1.0,False,True,g.31452.CDS.506
12495,2018-05-31T16:06:56.524774Z,2019-02-01T14:47:15.658153Z,GF6PTA,Glutamine-Fructose-6-Phosphate Transaminase,f6p[c] + gln_L[c] -> gam6p[c] + glu_L[c] ,0,4.0,3A0000269,,"PMID:10198162,PMID:11842094,PMID:1460020",2.6.1.16,MNXR100107,rxn00555,,,http://identifiers.org/vmhreaction/GF6PTA,K00820,COG0449,GF6PTA,R_GF6PTA,,,GF6PTA,Aminosugar metabolism,1.0,True,True,1254439.12.peg.1244
10079,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:56.440995Z,TREpts,Trehalose transport via PEP:Pyr PTS,pep[c] + tre[e] -> pyr[c] + tre6p[c] ,0,,,,,2.7.1.69,MNXR5126,rxn02005,,,http://identifiers.org/vmhreaction/TREpts,K02817 K02818 K02819,COG2190 COG1264 COG1263,,,,,,"Transport, extracellular",1.0,False,True,g.31452.CDS.648
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1.0,False,True,g.31452.CDS.880
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1.0,False,True,g.31452.CDS.999
14189,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:43.680630Z,UTPATPT,Uridine triphosphate:AMP phosphotransferase,amp[c] + utp[c] <=> adp[c] + udp[c] ,1,,,,,2.7.4.10,MNXR73615,rxn00118,,,http://identifiers.org/vmhreaction/UTPATPT,K00944,,,,,,,Nucleotide interconversion,1.0,False,True,1254439.12.peg.1422
12817,2018-05-31T16:06:56.524774Z,2019-02-01T15:01:00.390203Z,r0345,ATP:AMP Phosphotransferase Ec:2.7.4.11,atp[c] + damp[c] <=> adp[c] + dadp[c] ,1,0.0,,,PMID:11768308,2.7.4.11,MNXR68634,rxn01127,,,http://identifiers.org/vmhreaction/r0345,K00939,,r0345,R_r0345,,,,Nucleotide interconversion,1.0,True,True,g.31452.CDS.1176
13216,2018-05-31T16:06:56.524774Z,2019-02-01T14:54:45.540680Z,NTPTP1,Nucleoside triphosphate tripolyhydrolase,dgtp[c] + h2o[c] -> dgsn[c] + pppi[c] ,0,,,,,3.1.5.1,MNXR69563,rxn01352,,,http://identifiers.org/vmhreaction/NTPTP1,K01129,COG0232,,,,,,Nucleotide interconversion,1.0,False,True,g.31452.CDS.1529
12220,2018-05-31T16:06:56.524774Z,2019-01-29T08:35:12.306958Z,ADPT,Adenine Phosphoribosyltransferase,ade[c] + prpp[c] -> amp[c] + ppi[c] ,0,4.0,3A0000269,,"PMID:14674717,PMID:15196008","2.4.2.7, 2.4.2.8",MNXR95482,rxn00139,R00190,16612,http://identifiers.org/vmhreaction/ADPT,K00759 K00760,COG0503 COG0634,ADPT,R_ADPT,,,ADPT,Nucleotide salvage pathway,1.0,True,True,g.31452.CDS.1760
12222,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:07.041658Z,ADSL2r,Adenylosuccinate lyase,25aics[c] <=> aicar[c] + fum[c] ,1,,,,,4.3.2.2,MNXR95494,rxn03136,,,http://identifiers.org/vmhreaction/ADSL2r,K01756,COG0015,,,,,,Purine synthesis,1.0,False,True,1254439.12.peg.1137
12223,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:08.243191Z,ADSS,Adenylosuccinate Synthase,asp_L[c] + gtp[c] + imp[c] -> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c] ,0,2.0,3A0000134,r0277,PMID:1592113,6.3.4.4,MNXR95495,rxn00838,R01135,15756,http://identifiers.org/vmhreaction/ADSS,K01939,COG0104,ADSS,R_ADSS,,,ADSS,Nucleotide interconversion,1.0,True,True,1254439.12.peg.97
13161,2018-05-31T16:06:56.524774Z,2019-02-01T14:50:24.954729Z,IMPC,IMP Cyclohydrolase,h2o[c] + imp[c] <=> fprica[c] ,1,4.0,3A0000269,,"PMID:11948179,PMID:14966129,PMID:9378707","2.1.2.3, 3.5.4.10",MNXR100783,rxn00832,R01127,18448,http://identifiers.org/vmhreaction/IMPC,K00602 K01492 K11176,COG3363 COG0138,IMPC,R_IMPC,,,IMPC,Purine synthesis,1.0,True,True,1254439.12.peg.1040
12806,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:48.358449Z,XPPTr,"Xanthine phosphoribosyltransferase, reversible",ppi[c] + xmp[c] <=> prpp[c] + xan[c] ,1,,,,,"2.4.2.22,2.4.2.8",MNXR70076,rxn01544,,,http://identifiers.org/vmhreaction/XPPTr,K00769 K03816 K00760,COG0634 COG0503 COG0037,,,,,,Nucleotide salvage pathway,1.0,False,True,g.31452.CDS.1535
