rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
12756,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:15.389808Z,TDCOATA,Tetradecanoyl-ACP[acyl-carrier-protein] transferase,coa[c] + myrsACP[c] <=> ACP[c] + tdcoa[c] ,1,,,,,2.3.1.180,MNXR53366,rxn05457,,,http://identifiers.org/vmhreaction/TDCOATA,K00648,COG0332,,,,,,Glycerophospholipid metabolism,1.0,False,True,469595.3.peg.1697
12817,2018-05-31T16:06:56.524774Z,2019-02-01T15:01:00.390203Z,r0345,ATP:AMP Phosphotransferase Ec:2.7.4.11,atp[c] + damp[c] <=> adp[c] + dadp[c] ,1,0.0,,,PMID:11768308,2.7.4.11,MNXR68634,rxn01127,,,http://identifiers.org/vmhreaction/r0345,K00939,,r0345,R_r0345,,,,Nucleotide interconversion,1.0,True,True,469595.3.peg.1132
12572,2018-05-31T16:06:56.524774Z,2019-02-01T14:51:00.794910Z,KAS14,Beta-ketoacyl-ACP synthase,acACP[c] + h[c] + malACP[c] -> ACP[c] + actACP[c] + co2[c] ,0,,,,,2.3.1.41,MNXR83172,rxn05347,,,http://identifiers.org/vmhreaction/KAS14,K00647 K00667 K09458 K00648 K00665,COG0304,,,,,,Fatty acid synthesis,1.0,False,True,469595.3.peg.1696
12572,2018-05-31T16:06:56.524774Z,2019-02-01T14:51:00.794910Z,KAS14,Beta-ketoacyl-ACP synthase,acACP[c] + h[c] + malACP[c] -> ACP[c] + actACP[c] + co2[c] ,0,,,,,2.3.1.41,MNXR83172,rxn05347,,,http://identifiers.org/vmhreaction/KAS14,K00647 K00667 K09458 K00648 K00665,COG0304,,,,,,Fatty acid synthesis,1.0,False,True,469595.3.peg.1700
9367,2018-05-31T16:06:56.524774Z,2019-01-29T09:26:24.574214Z,ACNML,N-Acetylneuraminate lyase,acnam[c] -> acmana[c] + pyr[c] ,0,,,,,4.1.3.3,MNXR95296,rxn01322,R01811,23299,http://identifiers.org/vmhreaction/ACNML,K01639,COG0329,,,,,,Aminosugar metabolism,1.0,False,True,469595.3.peg.3021
12788,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:09.926957Z,UAGDP,UDP-N-Acetylglucosamine Diphosphorylase,acgam1p[c] + h[c] + utp[c] -> ppi[c] + uacgam[c] ,0,4.0,3A0000269,,PMID:9603950,2.7.7.23,MNXR105033,rxn00293,,,http://identifiers.org/vmhreaction/UAGDP,K00972 K04042 K11528,COG1207,UAGDP,R_UAGDP,,,UAGDP,Cell wall biosynthesis,1.0,True,True,469595.3.peg.3950
12634,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:54.179902Z,PGAMT,Phosphoglucosamine mutase,gam1p[c] <=> gam6p[c] ,1,,,,,5.4.2.10,MNXR4183,rxn01485,,,http://identifiers.org/vmhreaction/PGAMT,K03431,COG1109,,,,,,Cell wall biosynthesis,1.0,False,True,469595.3.peg.2979
11467,2018-05-31T16:06:56.524774Z,2019-02-01T14:44:22.572987Z,EAR9M10x,9-methyl-trans-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific),9mtdec2eACP[c] + h[c] + nadh[c] -> 9mdcaACP[c] + nad[c] ,0,,,,,1.3.1.9,MNXR27715,rxn05441,,,http://identifiers.org/vmhreaction/EAR9M10x,K11611,COG0623,,,,,,Fatty acid synthesis,1.0,False,True,469595.3.peg.2370
12617,2018-05-31T16:06:56.524774Z,2019-02-01T14:54:16.823144Z,NDPK9,Nucleoside-Diphosphate Kinase (ATP:IDP),atp[c] + idp[c] <=> adp[c] + itp[c] ,1,4.0,3A0000269,NCD,,2.7.4.6,MNXR101941,rxn00515,R00722,30350,http://identifiers.org/vmhreaction/NDPK9,K00940,COG0105,,R_NDPK9,,,NDPK9,Nucleotide interconversion,1.0,True,True,469595.3.peg.893
12220,2018-05-31T16:06:56.524774Z,2019-01-29T08:35:12.306958Z,ADPT,Adenine Phosphoribosyltransferase,ade[c] + prpp[c] -> amp[c] + ppi[c] ,0,4.0,3A0000269,,"PMID:14674717,PMID:15196008","2.4.2.7, 2.4.2.8",MNXR95482,rxn00139,R00190,16612,http://identifiers.org/vmhreaction/ADPT,K00759 K00760,COG0503 COG0634,ADPT,R_ADPT,,,ADPT,Nucleotide salvage pathway,1.0,True,True,469595.3.peg.1127
