rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
12756,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:15.389808Z,TDCOATA,Tetradecanoyl-ACP[acyl-carrier-protein] transferase,coa[c] + myrsACP[c] <=> ACP[c] + tdcoa[c] ,1,,,,,2.3.1.180,MNXR53366,rxn05457,,,http://identifiers.org/vmhreaction/TDCOATA,K00648,COG0332,,,,,,Glycerophospholipid metabolism,1.0,False,True,500640.5.peg.1102
12817,2018-05-31T16:06:56.524774Z,2019-02-01T15:01:00.390203Z,r0345,ATP:AMP Phosphotransferase Ec:2.7.4.11,atp[c] + damp[c] <=> adp[c] + dadp[c] ,1,0.0,,,PMID:11768308,2.7.4.11,MNXR68634,rxn01127,,,http://identifiers.org/vmhreaction/r0345,K00939,,r0345,R_r0345,,,,Nucleotide interconversion,1.0,True,True,500640.5.peg.3011
12158,2018-05-31T16:06:56.524774Z,2019-02-01T14:37:16.407234Z,3OAR9M10,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,9m3odcaACP[c] + h[c] + nadph[c] <=> 9m3hdcaACP[c] + nadp[c] ,1,,,,,1.1.1.100,MNXR27667,rxn05393,,,http://identifiers.org/vmhreaction/3OAR9M10,K00059,COG1028,,,,,,Fatty acid synthesis,1.0,False,True,500640.5.peg.1103
12572,2018-05-31T16:06:56.524774Z,2019-02-01T14:51:00.794910Z,KAS14,Beta-ketoacyl-ACP synthase,acACP[c] + h[c] + malACP[c] -> ACP[c] + actACP[c] + co2[c] ,0,,,,,2.3.1.41,MNXR83172,rxn05347,,,http://identifiers.org/vmhreaction/KAS14,K00647 K00667 K09458 K00648 K00665,COG0304,,,,,,Fatty acid synthesis,1.0,False,True,500640.5.peg.1101
12572,2018-05-31T16:06:56.524774Z,2019-02-01T14:51:00.794910Z,KAS14,Beta-ketoacyl-ACP synthase,acACP[c] + h[c] + malACP[c] -> ACP[c] + actACP[c] + co2[c] ,0,,,,,2.3.1.41,MNXR83172,rxn05347,,,http://identifiers.org/vmhreaction/KAS14,K00647 K00667 K09458 K00648 K00665,COG0304,,,,,,Fatty acid synthesis,1.0,False,True,500640.5.peg.1105
9367,2018-05-31T16:06:56.524774Z,2019-01-29T09:26:24.574214Z,ACNML,N-Acetylneuraminate lyase,acnam[c] -> acmana[c] + pyr[c] ,0,,,,,4.1.3.3,MNXR95296,rxn01322,R01811,23299,http://identifiers.org/vmhreaction/ACNML,K01639,COG0329,,,,,,Aminosugar metabolism,1.0,False,True,500640.5.peg.3899
12788,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:09.926957Z,UAGDP,UDP-N-Acetylglucosamine Diphosphorylase,acgam1p[c] + h[c] + utp[c] -> ppi[c] + uacgam[c] ,0,4.0,3A0000269,,PMID:9603950,2.7.7.23,MNXR105033,rxn00293,,,http://identifiers.org/vmhreaction/UAGDP,K00972 K04042 K11528,COG1207,UAGDP,R_UAGDP,,,UAGDP,Cell wall biosynthesis,1.0,True,True,500640.5.peg.28
12634,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:54.179902Z,PGAMT,Phosphoglucosamine mutase,gam1p[c] <=> gam6p[c] ,1,,,,,5.4.2.10,MNXR4183,rxn01485,,,http://identifiers.org/vmhreaction/PGAMT,K03431,COG1109,,,,,,Cell wall biosynthesis,1.0,False,True,500640.5.peg.3849
11467,2018-05-31T16:06:56.524774Z,2019-02-01T14:44:22.572987Z,EAR9M10x,9-methyl-trans-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific),9mtdec2eACP[c] + h[c] + nadh[c] -> 9mdcaACP[c] + nad[c] ,0,,,,,1.3.1.9,MNXR27715,rxn05441,,,http://identifiers.org/vmhreaction/EAR9M10x,K11611,COG0623,,,,,,Fatty acid synthesis,1.0,False,True,500640.5.peg.1774
12617,2018-05-31T16:06:56.524774Z,2019-02-01T14:54:16.823144Z,NDPK9,Nucleoside-Diphosphate Kinase (ATP:IDP),atp[c] + idp[c] <=> adp[c] + itp[c] ,1,4.0,3A0000269,NCD,,2.7.4.6,MNXR101941,rxn00515,R00722,30350,http://identifiers.org/vmhreaction/NDPK9,K00940,COG0105,,R_NDPK9,,,NDPK9,Nucleotide interconversion,1.0,True,True,500640.5.peg.2771
12220,2018-05-31T16:06:56.524774Z,2019-01-29T08:35:12.306958Z,ADPT,Adenine Phosphoribosyltransferase,ade[c] + prpp[c] -> amp[c] + ppi[c] ,0,4.0,3A0000269,,"PMID:14674717,PMID:15196008","2.4.2.7, 2.4.2.8",MNXR95482,rxn00139,R00190,16612,http://identifiers.org/vmhreaction/ADPT,K00759 K00760,COG0503 COG0634,ADPT,R_ADPT,,,ADPT,Nucleotide salvage pathway,1.0,True,True,500640.5.peg.3006
12223,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:08.243191Z,ADSS,Adenylosuccinate Synthase,asp_L[c] + gtp[c] + imp[c] -> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c] ,0,2.0,3A0000134,r0277,PMID:1592113,6.3.4.4,MNXR95495,rxn00838,R01135,15756,http://identifiers.org/vmhreaction/ADSS,K01939,COG0104,ADSS,R_ADSS,,,ADSS,Nucleotide interconversion,1.0,True,True,500640.5.peg.532
12235,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:37.775526Z,ALAALA,D-alanine--D-alanine ligase (EC 6.3.2.4),2.0 ala_D[c] + atp[c] -> adp[c] + alaala[c] + h[c] + pi[c] ,0,,,,,6.3.2.4,MNXR614,rxn00851,,,http://identifiers.org/vmhreaction/ALAALA,K01921,COG1181,,,,,,Alanine and aspartate metabolism,1.0,False,True,500640.5.peg.2906
12235,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:37.775526Z,ALAALA,D-alanine--D-alanine ligase (EC 6.3.2.4),2.0 ala_D[c] + atp[c] -> adp[c] + alaala[c] + h[c] + pi[c] ,0,,,,,6.3.2.4,MNXR614,rxn00851,,,http://identifiers.org/vmhreaction/ALAALA,K01921,COG1181,,,,,,Alanine and aspartate metabolism,1.0,False,True,500640.5.peg.893
