rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
2510,2018-05-31T16:06:56.524774Z,2019-02-01T14:53:30.899263Z,METS,Methionine Synthase,5mthf[c] + hcys_L[c] -> h[c] + met_L[c] + thf[c] ,0,4.0,3A0000134,Human Y/N: Y,"PMID:8968736,PMID:9013615",2.1.1.13,MNXR101481,,R00946,11175,http://identifiers.org/vmhreaction/METS,,,METS,R_METS,,,METS,Glycerophospholipid metabolism,1.0,True,True,645462.11.peg.298
10967,2018-05-31T16:06:56.524774Z,2019-02-01T14:58:54.621616Z,SHSL2,"O-succinylhomoserine lyase (H2S), irreversible",h2s[c] + suchms[c] -> h[c] + hcys_L[c] + succ[c] ,0,,,,,4.2.99.9,MNXR32404,rxn05957,,,http://identifiers.org/vmhreaction/SHSL2,K10764 K01739,COG0626,,,,,,Methionine and cysteine metabolism,1.0,False,True,645462.11.peg.1854
9495,2018-05-31T16:06:56.524774Z,2019-02-01T14:41:49.143583Z,CYSS3r,Cysteine synthase (Thiosulfate),acser[c] + trdrd[c] + tsul[c] <=> ac[c] + cys_L[c] + h[c] + so3[c] + trdox[c] ,1,,,,,2.5.1.47,MNXR82091,rxn05733,,,http://identifiers.org/vmhreaction/CYSS3r,K01740 K17069 K12339 K13034 K10150,COG0031,,,,,,Methionine and cysteine metabolism,1.0,False,True,645462.11.peg.1606
12756,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:15.389808Z,TDCOATA,Tetradecanoyl-ACP[acyl-carrier-protein] transferase,coa[c] + myrsACP[c] <=> ACP[c] + tdcoa[c] ,1,,,,,2.3.1.180,MNXR53366,rxn05457,,,http://identifiers.org/vmhreaction/TDCOATA,K00648,COG0332,,,,,,Glycerophospholipid metabolism,1.0,False,True,645462.11.peg.1091
12756,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:15.389808Z,TDCOATA,Tetradecanoyl-ACP[acyl-carrier-protein] transferase,coa[c] + myrsACP[c] <=> ACP[c] + tdcoa[c] ,1,,,,,2.3.1.180,MNXR53366,rxn05457,,,http://identifiers.org/vmhreaction/TDCOATA,K00648,COG0332,,,,,,Glycerophospholipid metabolism,1.0,False,True,645462.11.peg.1092
25408,2019-01-19T09:05:49.770247Z,2019-02-21T13:35:38.209949Z,ACNAMtNa,N-acetylneuraminate sodium symport,acnam[e] + na1[e] -> acnam[c] + na1[c] ,0,,,,,,,,,,,,,,,,,,"Transport, extracellular",,False,True,645462.3.peg.2198
12788,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:09.926957Z,UAGDP,UDP-N-Acetylglucosamine Diphosphorylase,acgam1p[c] + h[c] + utp[c] -> ppi[c] + uacgam[c] ,0,4.0,3A0000269,,PMID:9603950,2.7.7.23,MNXR105033,rxn00293,,,http://identifiers.org/vmhreaction/UAGDP,K00972 K04042 K11528,COG1207,UAGDP,R_UAGDP,,,UAGDP,Cell wall biosynthesis,1.0,True,True,645462.11.peg.3520
12634,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:54.179902Z,PGAMT,Phosphoglucosamine mutase,gam1p[c] <=> gam6p[c] ,1,,,,,5.4.2.10,MNXR4183,rxn01485,,,http://identifiers.org/vmhreaction/PGAMT,K03431,COG1109,,,,,,Cell wall biosynthesis,1.0,False,True,645462.11.peg.134
9367,2018-05-31T16:06:56.524774Z,2019-01-29T09:26:24.574214Z,ACNML,N-Acetylneuraminate lyase,acnam[c] -> acmana[c] + pyr[c] ,0,,,,,4.1.3.3,MNXR95296,rxn01322,R01811,23299,http://identifiers.org/vmhreaction/ACNML,K01639,COG0329,,,,,,Aminosugar metabolism,1.0,False,True,645462.3.peg.2199
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1.0,False,True,645462.11.peg.1743
