rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
12584,2018-05-31T16:06:56.524774Z,2019-02-01T14:52:58.942108Z,MACCOAT,2-Methylacetyl-CoA thiolase,2maacoa[c] + coa[c] -> accoa[c] + ppcoa[c] ,0,,,,,2.3.1.16,MNXR342,rxn00676,,,http://identifiers.org/vmhreaction/MACCOAT,K00632 K07513,COG0183,,,,,,Fatty acid oxidation,1.0,False,True,888826.3.peg.671
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.1249
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.1250
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.1251
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.1252
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.1253
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.1254
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.1411
12273,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:50.818037Z,ATPS4,ATP synthase (four protons for one ATP),adp[c] + 4.0 h[e] + pi[c] -> atp[c] + 3.0 h[c] + h2o[c] ,0,,,,,3.6.3.14,MNXR81785,rxn10042,,,http://identifiers.org/vmhreaction/ATPS4,K02111 K02112,COG0056 COG0055 COG0355,,,,,,Energy metabolism,1.0,False,True,888826.3.peg.303
23612,2018-05-31T16:06:56.524774Z,2019-01-29T08:37:37.100016Z,BUTt2,Butyrate transport via proton symport,but[e] + h[e] -> but[c] + h[c] ,0,,,,,,,,,,http://identifiers.org/vmhreaction/BUTt2,,,,,,,,"Transport, extracellular",1.0,False,True,888826.3.peg.668
