rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
12329,2018-05-31T16:06:56.524774Z,2019-02-01T14:42:31.195864Z,DHDPRy,Dihydrodipicolinate reductase (NADPH),23dhdp[c] + h[c] + nadph[c] -> nadp[c] + thdp[c] ,0,,,,,1.3.1.26,MNXR1556,rxn02929,,,http://identifiers.org/vmhreaction/DHDPRy,K00215,COG0289,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,g.239975.CDS.1043
12329,2018-05-31T16:06:56.524774Z,2019-02-01T14:42:31.195864Z,DHDPRy,Dihydrodipicolinate reductase (NADPH),23dhdp[c] + h[c] + nadph[c] -> nadp[c] + thdp[c] ,0,,,,,1.3.1.26,MNXR1556,rxn02929,,,http://identifiers.org/vmhreaction/DHDPRy,K00215,COG0289,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,g.239975.CDS.1971
12623,2018-05-31T16:06:56.524774Z,2019-02-01T14:54:48.928264Z,OAASr,"Oxaloacetate synthase, reversible",cit[c] + coa[c] + h[c] <=> accoa[c] + h2o[c] + oaa[c] ,1,,,,,"2.3.3.1,2.3.3.3,4.1.3.7",MNXR1298,rxn00256,,,http://identifiers.org/vmhreaction/OAASr,K01647,COG0372,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,g.239975.CDS.281
12804,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:44.492982Z,VALTA,Valine Transaminase,akg[c] + val_L[c] <=> 3mob[c] + glu_L[c] ,1,4.0,3A0000269,,"PMID:6933702,PMID:9165094","2.6.1.42, 2.6.1.6",MNXR96230,rxn00903,R01214,,http://identifiers.org/vmhreaction/VALTA,K00826,COG0115,VALTA,R_VALTA,,,VALTA,"Valine, leucine, and isoleucine metabolism",1,True,True,g.239975.CDS.1219
12158,2018-05-31T16:06:56.524774Z,2019-02-01T14:37:16.407234Z,3OAR9M10,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,9m3odcaACP[c] + h[c] + nadph[c] <=> 9m3hdcaACP[c] + nadp[c] ,1,,,,,1.1.1.100,MNXR27667,rxn05393,,,http://identifiers.org/vmhreaction/3OAR9M10,K00059,COG1028,,,,,,Fatty acid synthesis,1,False,True,g.239975.CDS.1155
12158,2018-05-31T16:06:56.524774Z,2019-02-01T14:37:16.407234Z,3OAR9M10,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,9m3odcaACP[c] + h[c] + nadph[c] <=> 9m3hdcaACP[c] + nadp[c] ,1,,,,,1.1.1.100,MNXR27667,rxn05393,,,http://identifiers.org/vmhreaction/3OAR9M10,K00059,COG1028,,,,,,Fatty acid synthesis,1,False,True,g.239975.CDS.1231
10370,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:26.353407Z,ACLS_b,2-Acetolactate pyruvate-lyase (carboxylating),alac_S[c] + thmpp[c] <=> hethmpp[c] + pyr[c] ,1,,,,,2.2.1.6,MNXR70454,rxn02185,,,http://identifiers.org/vmhreaction/ACLS_b,K01652 K01653,COG0028 COG0440,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,g.239975.CDS.2389
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1,False,True,g.239975.CDS.219
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1,False,True,g.239975.CDS.2364
12632,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:30.798464Z,PBt,Lead (Pb+2) ABC transporter,atp[c] + h2o[c] + pb[c] -> adp[c] + h[c] + pb[e] + pi[c] ,0,,,,,,MNXR94339,rxn10344,,,http://identifiers.org/vmhreaction/PBt,,,,,,,,"Transport, extracellular",1,False,True,g.239975.CDS.1675
12632,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:30.798464Z,PBt,Lead (Pb+2) ABC transporter,atp[c] + h2o[c] + pb[c] -> adp[c] + h[c] + pb[e] + pi[c] ,0,,,,,,MNXR94339,rxn10344,,,http://identifiers.org/vmhreaction/PBt,,,,,,,,"Transport, extracellular",1,False,True,g.239975.CDS.1678
13463,2018-05-31T16:06:56.524774Z,2019-01-29T09:04:24.248231Z,ZN2t4,Zinc (II) Ion Transport (Antiport),h[e] + k[e] + zn2[c] <=> h[c] + k[c] + zn2[e],1,,,,,,MNXR27629,rxn05315,,,http://identifiers.org/vmhreaction/ZN2t4,,,,,,,,"Transport, extracellular",1,False,True,g.239975.CDS.1156
12808,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:54.254556Z,ZNabc,Zinc transport via ABC system,atp[c] + h2o[c] + zn2[e] -> adp[c] + h[c] + pi[c] + zn2[c] ,0,,,,,"TC-3.A.1.15,3.A.1.15",MNXR5385,rxn13918,,,http://identifiers.org/vmhreaction/ZNabc,,,,,,,,"Transport, extracellular",1,False,True,g.239975.CDS.643
12808,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:54.254556Z,ZNabc,Zinc transport via ABC system,atp[c] + h2o[c] + zn2[e] -> adp[c] + h[c] + pi[c] + zn2[c] ,0,,,,,"TC-3.A.1.15,3.A.1.15",MNXR5385,rxn13918,,,http://identifiers.org/vmhreaction/ZNabc,,,,,,,,"Transport, extracellular",1,False,True,g.239975.CDS.782
12604,2018-05-31T16:06:56.524774Z,2019-02-01T14:53:45.723450Z,MTHFD,Methylenetetrahydrofolate Dehydrogenase (NADP),mlthf[c] + nadp[c] <=> methf[c] + nadph[c] ,1,4.0,3A0000134,Human Y/N: Y,PMID:2786332,1.5.1.5,MNXR101749,rxn00907,R01220,22815,http://identifiers.org/vmhreaction/MTHFD,K01491 K00288,COG0190,MTHFD,R_MTHFD,,,MTHFD,Pyrimidine catabolism,1,True,True,g.239975.CDS.350
