rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
12158,2018-05-31T16:06:56.524774Z,2019-02-01T14:37:16.407234Z,3OAR9M10,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,9m3odcaACP[c] + h[c] + nadph[c] <=> 9m3hdcaACP[c] + nadp[c] ,1,,,,,1.1.1.100,MNXR27667,rxn05393,,,http://identifiers.org/vmhreaction/3OAR9M10,K00059,COG1028,,,,,,Fatty acid synthesis,1,False,True,360105.10.peg.375
12158,2018-05-31T16:06:56.524774Z,2019-02-01T14:37:16.407234Z,3OAR9M10,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,9m3odcaACP[c] + h[c] + nadph[c] <=> 9m3hdcaACP[c] + nadp[c] ,1,,,,,1.1.1.100,MNXR27667,rxn05393,,,http://identifiers.org/vmhreaction/3OAR9M10,K00059,COG1028,,,,,,Fatty acid synthesis,1,False,True,360105.10.peg.954
10365,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:19.028319Z,ACGK,Acetylglutamate kinase,acglu[c] + atp[c] -> acg5p[c] + adp[c] ,0,,,,,2.7.2.8,MNXR382,rxn01917,,,http://identifiers.org/vmhreaction/ACGK,K00930 K05828 K12659,COG0548,,,,,,Arginine and Proline Metabolism,1,False,True,360105.10.peg.802
13225,2018-05-31T16:06:56.524774Z,2019-01-29T09:16:59.005576Z,ORNabc,Ornithine transport via ABC system,atp[c] + h2o[c] + orn[e] -> adp[c] + h[c] + orn[c] + pi[c] ,0,,,,,,MNXR51005,rxn05156,,,http://identifiers.org/vmhreaction/ORNabc,,,,,,,,"Transport, extracellular",1,False,True,360105.10.peg.1235
10876,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:12.569201Z,ORNTAC,Ornithine transacetylase,acorn[c] + glu_L[c] <=> acglu[c] + orn[c] ,1,,,,,2.3.1.35,MNXR32051,rxn01636,,,http://identifiers.org/vmhreaction/ORNTAC,K00620,COG1364,,,,,,Urea cycle,1,False,True,360105.10.peg.1287
12678,2018-05-31T16:06:56.524774Z,2019-02-01T14:57:09.724681Z,PPAKr,Propionate kinase,adp[c] + ppap[c] <=> atp[c] + ppa[c] ,1,,,,,2.7.2.1,MNXR4375,rxn00985,,,http://identifiers.org/vmhreaction/PPAKr,K00932 K00925,COG0282,,,,,,Pyruvate metabolism,1,False,True,360105.10.peg.974
11751,2018-05-31T16:06:56.524774Z,2019-01-29T09:30:05.254579Z,OOR2r,2-oxoglutarate synthase (rev),co2[c] + fdxrd[c] + succoa[c] <=> akg[c] + coa[c] + fdxox[c] + h[c] ,1,,,,,1.2.7.3,MNXR84838,rxn05939,,,http://identifiers.org/vmhreaction/OOR2r,K00174 K00175 K00176 K00177,COG0674 COG1013 COG1014 COG1144,,,,,,Citric acid cycle,1,False,True,360105.10.peg.1034
11751,2018-05-31T16:06:56.524774Z,2019-01-29T09:30:05.254579Z,OOR2r,2-oxoglutarate synthase (rev),co2[c] + fdxrd[c] + succoa[c] <=> akg[c] + coa[c] + fdxox[c] + h[c] ,1,,,,,1.2.7.3,MNXR84838,rxn05939,,,http://identifiers.org/vmhreaction/OOR2r,K00174 K00175 K00176 K00177,COG0674 COG1013 COG1014 COG1144,,,,,,Citric acid cycle,1,False,True,360105.10.peg.1035
11751,2018-05-31T16:06:56.524774Z,2019-01-29T09:30:05.254579Z,OOR2r,2-oxoglutarate synthase (rev),co2[c] + fdxrd[c] + succoa[c] <=> akg[c] + coa[c] + fdxox[c] + h[c] ,1,,,,,1.2.7.3,MNXR84838,rxn05939,,,http://identifiers.org/vmhreaction/OOR2r,K00174 K00175 K00176 K00177,COG0674 COG1013 COG1014 COG1144,,,,,,Citric acid cycle,1,False,True,360105.10.peg.1036
11751,2018-05-31T16:06:56.524774Z,2019-01-29T09:30:05.254579Z,OOR2r,2-oxoglutarate synthase (rev),co2[c] + fdxrd[c] + succoa[c] <=> akg[c] + coa[c] + fdxox[c] + h[c] ,1,,,,,1.2.7.3,MNXR84838,rxn05939,,,http://identifiers.org/vmhreaction/OOR2r,K00174 K00175 K00176 K00177,COG0674 COG1013 COG1014 COG1144,,,,,,Citric acid cycle,1,False,True,360105.10.peg.1037
12676,2018-05-31T16:06:56.524774Z,2019-02-01T14:57:07.243711Z,POR4,Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-),accoa[c] + co2[c] + fdxrd[c] <=> coa[c] + fdxox[c] + h[c] + pyr[c] ,1,,,,,1.2.7.1,MNXR84837,rxn05938,,,http://identifiers.org/vmhreaction/POR4,K00169 K00170 K00171 K00172 K03737,COG0674 COG1013 COG1014 COG1144,,,,,,Pyruvate metabolism,1,False,True,360105.10.peg.306
10974,2018-05-31T16:06:56.524774Z,2019-01-29T09:01:45.148742Z,SUCOAS,Succinyl-CoA synthetase (ADP-forming),atp[c] + coa[c] + succ[c] <=> adp[c] + pi[c] + succoa[c] ,1,,,,,6.2.1.5,MNXR4958,rxn00285,,,http://identifiers.org/vmhreaction/SUCOAS,K01902 K01903,COG0045 COG0074,,,,,,Citric acid cycle,1,False,True,360105.10.peg.1038
10974,2018-05-31T16:06:56.524774Z,2019-01-29T09:01:45.148742Z,SUCOAS,Succinyl-CoA synthetase (ADP-forming),atp[c] + coa[c] + succ[c] <=> adp[c] + pi[c] + succoa[c] ,1,,,,,6.2.1.5,MNXR4958,rxn00285,,,http://identifiers.org/vmhreaction/SUCOAS,K01902 K01903,COG0045 COG0074,,,,,,Citric acid cycle,1,False,True,360105.10.peg.1039
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1,False,True,360105.10.peg.1067
12231,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:17.825867Z,AGPAT181, 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] ,0,,,,,2.3.1.51,MNXR81588,rxn08089,,,http://identifiers.org/vmhreaction/AGPAT181,K00655,COG0204,,,,,,Glycerophospholipid metabolism,1,False,True,360105.10.peg.471
10384,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:43.393168Z,ACOTA,Acetylornithine transaminase,acorn[c] + akg[c] <=> acg5sa[c] + glu_L[c] ,1,,,,,2.6.1.11,MNXR30610,rxn01637,,,http://identifiers.org/vmhreaction/ACOTA,K00818 K00821 K05830,COG4992,,,,,,Arginine and Proline Metabolism,1,False,True,360105.10.peg.855
12961,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:32.871891Z,ARGSL,Argininosuccinate Lyase,argsuc[c] <=> arg_L[c] + fum[c] ,1,4.0,3A0000269,,"PMID:11747432,PMID:12408190,PMID:3463959",4.3.2.1,MNXR95948,rxn00802,R01086,24023,http://identifiers.org/vmhreaction/ARGSL,K01755 K14681,COG0165 COG1246,ARGSL,R_ARGSL,,Argininosuccinate_lyase,ARGSL,Purine synthesis,1,True,True,360105.10.peg.442
12961,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:32.871891Z,ARGSL,Argininosuccinate Lyase,argsuc[c] <=> arg_L[c] + fum[c] ,1,4.0,3A0000269,,"PMID:11747432,PMID:12408190,PMID:3463959",4.3.2.1,MNXR95948,rxn00802,R01086,24023,http://identifiers.org/vmhreaction/ARGSL,K01755 K14681,COG0165 COG1246,ARGSL,R_ARGSL,,Argininosuccinate_lyase,ARGSL,Purine synthesis,1,True,True,360105.10.peg.52
10405,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:18.753400Z,AGPR,N-acetyl-g-glutamyl-phosphate reductase,acg5sa[c] + nadp[c] + pi[c] <=> acg5p[c] + h[c] + nadph[c] ,1,,,,,1.2.1.38,MNXR571,rxn02465,,,http://identifiers.org/vmhreaction/AGPR,K00145 K05829 K12659,COG0002 COG0548,,,,,,Urea cycle,1,False,True,360105.10.peg.1682
12249,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:56.413165Z,ALAR,Alanine Racemase,ala_L[c] <=> ala_D[c] ,1,1.0,3A0000212,,,5.1.1.1,MNXR95693,rxn00283,R00401,20252,http://identifiers.org/vmhreaction/ALAR,K01775,COG0787,ALAR,R_ALAR,,PROSC,,Alanine and aspartate metabolism,1,True,True,360105.10.peg.1453
13739,2018-05-31T16:06:56.524774Z,2019-01-29T08:36:03.720137Z,ALATA_D,D-alanine transaminase,akg[c] + ala_D[c] <=> glu_D[c] + pyr[c] ,1,,,,,2.6.1.21,MNXR629,rxn00849,,,http://identifiers.org/vmhreaction/ALATA_D,K00824,COG0115,,,,,,Glutamate metabolism,1,False,True,360105.10.peg.1181
12506,2018-05-31T16:06:56.524774Z,2019-02-01T14:48:06.632450Z,GLUR,Glutamate racemase,glu_D[c] <=> glu_L[c] ,1,,,,,5.1.1.3,MNXR31606,rxn00193,,,http://identifiers.org/vmhreaction/GLUR,K01776,COG0796,,,,,,Glutamate metabolism,1,False,True,360105.10.peg.1076
12267,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:43.646853Z,ASP1DC,Aspartate 1-Decarboxylase,asp_L[c] + h[c] -> ala_B[c] + co2[c] ,0,1.0,3A0000212,The E. coli enzyme contains a pyruvoyl group.,,"4.1.1.11, 4.1.1.15",MNXR96077,rxn00346,R00489,19500,http://identifiers.org/vmhreaction/ASP1DC,K01579 K01580,COG0076 COG0853,ASP1DC,R_ASP1DC,,,ASP1DC,Beta-Alanine metabolism,1,True,True,360105.10.peg.1934
12841,2018-05-31T16:06:56.524774Z,2019-02-01T14:57:06.384578Z,PNTOt4,Pantothenate sodium symporter,na1[e] + pnto_R[e] -> na1[c] + pnto_R[c] ,0,,,,,,MNXR103054,rxn10180,,,http://identifiers.org/vmhreaction/PNTOt4,,,,,,,,"Transport, extracellular",1,False,True,360105.10.peg.615
12268,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:44.353725Z,ASPCT,Aspartate carbamoyltransferase,asp_L[c] + cbp[c] -> cbasp[c] + h[c] + pi[c] ,0,,,,,2.1.3.2,MNXR96080,rxn01018,R01397,20016,http://identifiers.org/vmhreaction/ASPCT,K00608 K00609 K00610 K11540 K11541,COG0540 COG1781,,,,,,Pyrimidine synthesis,1,False,True,360105.10.peg.774
13305,2018-05-31T16:06:56.524774Z,2019-01-29T09:03:51.114662Z,UPPRT,Uracil phosphoribosyltransferase,prpp[c] + ura[c] -> ppi[c] + ump[c] ,0,,,,,2.4.2.9,MNXR105142,rxn00711,R00966,,http://identifiers.org/vmhreaction/UPPRT,K00761 K02825,COG0035 COG2065,,,,,,Nucleotide salvage pathway,1,False,True,360105.10.peg.1751
10105,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:26.118504Z,URAt2r,Uracil transport in via proton symport reversible,h[e] + ura[e] <=> h[c] + ura[c] ,1,,,,,"TC-2.A.40,2.A.40",MNXR5294,rxn05197,,,http://identifiers.org/vmhreaction/URAt2r,,,,,,,,"Transport, extracellular",1,False,True,360105.10.peg.1797
10918,2018-05-31T16:06:56.524774Z,2019-02-01T14:57:21.830205Z,PPNDH,Prephenate dehydratase,h[c] + pphn[c] -> co2[c] + h2o[c] + phpyr[c] ,0,,,,,4.2.1.51,MNXR4404,rxn01000,,,http://identifiers.org/vmhreaction/PPNDH,K01713 K04518 K05359 K14170,COG1605 COG0077,,,,,,Phenylalanine metabolism,1,False,True,360105.10.peg.1670
12755,2018-05-31T16:06:56.524774Z,2019-02-01T14:59:09.604682Z,TALA,Transaldolase,g3p[c] + s7p[c] <=> e4p[c] + f6p[c] ,1,0.0,3A0000000,SMP,,2.2.1.2,MNXR104715,rxn01333,R01827,,http://identifiers.org/vmhreaction/TALA,K00616,COG0176,TALA,R_TALA,,Transaldolase_1,TALA,Pentose phosphate pathway,1,True,True,360105.10.peg.1676
12321,2018-05-31T16:06:56.524774Z,2019-02-01T14:42:20.120001Z,DASYNI17,Isoheptadecanoyl-phosphatidate cytidylyltransferase,ctp[c] + h[c] + pai17[c] -> cdpdihpdecg[c] + ppi[c] ,0,,,,,2.7.7.41,MNXR80501,rxn10220,,,http://identifiers.org/vmhreaction/DASYNI17,K00981,COG0575,,,,,,Glycerophospholipid metabolism,1,False,True,360105.10.peg.1799
12321,2018-05-31T16:06:56.524774Z,2019-02-01T14:42:20.120001Z,DASYNI17,Isoheptadecanoyl-phosphatidate cytidylyltransferase,ctp[c] + h[c] + pai17[c] -> cdpdihpdecg[c] + ppi[c] ,0,,,,,2.7.7.41,MNXR80501,rxn10220,,,http://identifiers.org/vmhreaction/DASYNI17,K00981,COG0575,,,,,,Glycerophospholipid metabolism,1,False,True,360105.10.peg.472
