rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
12571,2018-05-31T16:06:56.524774Z,2019-02-01T14:50:59.230434Z,KARA3,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",23dhmb[c] + nadp[c] <=> 33hmeoxobut[c] + h[c] + nadph[c] ,1,,,,,1.1.1.86,MNXR74267,rxn03068,,,http://identifiers.org/vmhreaction/KARA3,K00053,COG0059,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,6666666.58943.peg.97
12804,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:44.492982Z,VALTA,Valine Transaminase,akg[c] + val_L[c] <=> 3mob[c] + glu_L[c] ,1,4.0,3A0000269,,"PMID:6933702,PMID:9165094","2.6.1.42, 2.6.1.6",MNXR96230,rxn00903,R01214,,http://identifiers.org/vmhreaction/VALTA,K00826,COG0115,VALTA,R_VALTA,,,VALTA,"Valine, leucine, and isoleucine metabolism",1,True,True,6666666.58943.peg.93
12826,2018-05-31T16:06:56.524774Z,2019-01-29T11:05:51.619373Z,MALCOACD,Malonyl-CoA condensation catalyzed by FabH,h[c] + malACP[c] + malcoam[c] -> 3ogACPm[c] + co2[c] + coa[c] ,0,,,,,,,,,,http://identifiers.org/vmhreaction/MALCOACD,K00648,COG0332,,,,,,Biotin metabolism,1,False,True,6666666.58943.peg.1962
12196,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:14.881498Z,ACCOACL,Acetyl-CoA carbon-dioxide ligase ADP-forming,accoa[c] + btn_co2[c] -> apoC_Lys_btn[c] + malcoa[c] ,0,,,,,6.4.1.2,MNXR48676,rxn06673,,,http://identifiers.org/vmhreaction/ACCOACL,K01962 K01963 K02160,COG0825 COG0777,,,,,,Pyruvate metabolism,1,False,True,6666666.58943.peg.2739
12196,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:14.881498Z,ACCOACL,Acetyl-CoA carbon-dioxide ligase ADP-forming,accoa[c] + btn_co2[c] -> apoC_Lys_btn[c] + malcoa[c] ,0,,,,,6.4.1.2,MNXR48676,rxn06673,,,http://identifiers.org/vmhreaction/ACCOACL,K01962 K01963 K02160,COG0825 COG0777,,,,,,Pyruvate metabolism,1,False,True,6666666.58943.peg.405
16731,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:59.223496Z,BTNCLi,"Biotin-carboxyl-carrier-protein carbon-dioxide ligase ADP-forming, irreversible",apoC_Lys_btn[c] + atp[c] + hco3[c] -> adp[c] + btn_co2[c] + h[c] + pi[c] ,0,,,,,,,,,,http://identifiers.org/vmhreaction/BTNCLi,,,,,,,,Biotin metabolism,1,False,True,6666666.58943.peg.2601
16731,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:59.223496Z,BTNCLi,"Biotin-carboxyl-carrier-protein carbon-dioxide ligase ADP-forming, irreversible",apoC_Lys_btn[c] + atp[c] + hco3[c] -> adp[c] + btn_co2[c] + h[c] + pi[c] ,0,,,,,,,,,,http://identifiers.org/vmhreaction/BTNCLi,,,,,,,,Biotin metabolism,1,False,True,6666666.58943.peg.4016
16731,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:59.223496Z,BTNCLi,"Biotin-carboxyl-carrier-protein carbon-dioxide ligase ADP-forming, irreversible",apoC_Lys_btn[c] + atp[c] + hco3[c] -> adp[c] + btn_co2[c] + h[c] + pi[c] ,0,,,,,,,,,,http://identifiers.org/vmhreaction/BTNCLi,,,,,,,,Biotin metabolism,1,False,True,6666666.58943.peg.4017
10327,2018-05-31T16:06:56.524774Z,2019-02-01T14:36:44.174876Z,3MOBS,3-methyl-2-oxobutanoate synthase,3c3hmp[c] + coa[c] + h[c] <=> 3mob[c] + accoa[c] + h2o[c] ,1,,,,,"2.3.3.13,4.1.3.12",MNXR3135,rxn00902,,,http://identifiers.org/vmhreaction/3MOBS,K01649,COG0119,,,,,,"Valine, leucine, and isoleucine metabolism",1,False,True,6666666.58943.peg.2853
12577,2018-05-31T16:06:56.524774Z,2019-02-01T14:51:24.255174Z,LEUTA,Leucine Transaminase,akg[c] + leu_L[c] <=> 4mop[c] + glu_L[c] ,1,4.0,3A0000269,_2.6.1.42,"PMID:6933702,PMID:9165094","2.6.1.42, 2.6.1.6, 2.6.1.67",MNXR96229,rxn00806,R01090,18324,http://identifiers.org/vmhreaction/LEUTA,K00826,COG0115,LEUTA,R_LEUTA,,,LEUTA,"Valine, leucine, and isoleucine metabolism",1,True,True,290338.8.peg.92
