rxn_id,createdDate,updatedDate,abbreviation,description,formula,reversible,mcs,csecoida,notes,ref,ecnumber,metanetx,seed,keggId,rhea,miriam,keggorthology,cog,reconMap,reconMap3,organellemap,wikipedia,chodb_id,subsystem,massbalance,isHuman,isMicrobe,genename
12946,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:36.033317Z,AIRC4,Phosphoribosylaminoimidazole carboxylase,air[c] + atp[c] + hco3[c] -> 5aizc[c] + adp[c] + h[c] + pi[c] ,0,,,,,4.1.1.21,MNXR79878,rxn05229,,,http://identifiers.org/vmhreaction/AIRC4,K11808,,,,,,,Purine catabolism,1,False,True,592010.4.peg.1807
12806,2018-05-31T16:06:56.524774Z,2019-02-01T15:00:48.358449Z,XPPTr,"Xanthine phosphoribosyltransferase, reversible",ppi[c] + xmp[c] <=> prpp[c] + xan[c] ,1,,,,,"2.4.2.22,2.4.2.8",MNXR70076,rxn01544,,,http://identifiers.org/vmhreaction/XPPTr,K00769 K03816 K00760,COG0634 COG0503 COG0037,,,,,,Nucleotide salvage pathway,1,False,True,592010.4.peg.1171
13152,2018-05-31T16:06:56.524774Z,2019-02-01T14:50:12.840214Z,HYXNt,Hypoxanthine Transport,hxan[e] <=> hxan[c] ,1,4.0,3A0000269,tv,"PMID:12006583,PMID:12838422",,MNXR100749,rxn05201,,,http://identifiers.org/vmhreaction/HYXNt,,,HYXNt,R_HYXNt,,,HYXNt,"Transport, extracellular",1,True,True,592010.4.peg.709
12196,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:14.881498Z,ACCOACL,Acetyl-CoA carbon-dioxide ligase ADP-forming,accoa[c] + btn_co2[c] -> apoC_Lys_btn[c] + malcoa[c] ,0,,,,,6.4.1.2,MNXR48676,rxn06673,,,http://identifiers.org/vmhreaction/ACCOACL,K01962 K01963 K02160,COG0825 COG0777,,,,,,Pyruvate metabolism,1,False,True,592010.4.peg.2657
12196,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:14.881498Z,ACCOACL,Acetyl-CoA carbon-dioxide ligase ADP-forming,accoa[c] + btn_co2[c] -> apoC_Lys_btn[c] + malcoa[c] ,0,,,,,6.4.1.2,MNXR48676,rxn06673,,,http://identifiers.org/vmhreaction/ACCOACL,K01962 K01963 K02160,COG0825 COG0777,,,,,,Pyruvate metabolism,1,False,True,592010.4.peg.237
12196,2018-05-31T16:06:56.524774Z,2019-02-01T14:38:14.881498Z,ACCOACL,Acetyl-CoA carbon-dioxide ligase ADP-forming,accoa[c] + btn_co2[c] -> apoC_Lys_btn[c] + malcoa[c] ,0,,,,,6.4.1.2,MNXR48676,rxn06673,,,http://identifiers.org/vmhreaction/ACCOACL,K01962 K01963 K02160,COG0825 COG0777,,,,,,Pyruvate metabolism,1,False,True,592010.4.peg.2658
12223,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:08.243191Z,ADSS,Adenylosuccinate Synthase,asp_L[c] + gtp[c] + imp[c] -> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c] ,0,2.0,3A0000134,r0277,PMID:1592113,6.3.4.4,MNXR95495,rxn00838,R01135,15756,http://identifiers.org/vmhreaction/ADSS,K01939,COG0104,ADSS,R_ADSS,,,ADSS,Nucleotide interconversion,1,True,True,592010.4.peg.2784
12223,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:08.243191Z,ADSS,Adenylosuccinate Synthase,asp_L[c] + gtp[c] + imp[c] -> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c] ,0,2.0,3A0000134,r0277,PMID:1592113,6.3.4.4,MNXR95495,rxn00838,R01135,15756,http://identifiers.org/vmhreaction/ADSS,K01939,COG0104,ADSS,R_ADSS,,,ADSS,Nucleotide interconversion,1,True,True,592010.4.peg.391
11274,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:10.326436Z,AGMD,Agmantine deiminase,agm[c] + h2o[c] -> ncptrc[c] + nh4[c] ,0,,,,,3.5.3.12,MNXR81576,rxn01029,,,http://identifiers.org/vmhreaction/AGMD,K10536,COG2957,,,,,,Arginine and Proline Metabolism,1,False,True,592010.4.peg.1461
13224,2018-05-31T16:06:56.524774Z,2019-02-01T14:55:11.649087Z,ORNDC,Ornithine Decarboxylase,h[c] + orn[c] -> co2[c] + ptrc[c] ,0,4.0,3A0000269,JLR- added proton to balance,PMID:2317811,4.1.1.17,MNXR102209,rxn00470,R00670,22967,http://identifiers.org/vmhreaction/ORNDC,K01581,COG1982,ORNDC,R_ORNDC,,,ORNDC,Arginine and Proline Metabolism,1,True,True,592010.4.peg.481
13329,2018-05-31T16:06:56.524774Z,2019-01-29T09:23:11.750700Z,r1667,Y+Lat2 Utilized Transport,arg_L[e] + orn[c] <=> arg_L[c] + orn[e] ,1,0.0,,,"PMID:14770309,PMID:14770310",,MNXR30738,rxn10131,,,http://identifiers.org/vmhreaction/r1667,,,r1667,,,,r1667,"Transport, extracellular",1,True,True,592010.4.peg.2340
12945,2018-05-31T16:06:56.524774Z,2019-02-01T14:39:26.459251Z,AICART,Phosphoribosylaminoimidazolecarboxamide Formyltransferase,10fthf[c] + aicar[c] <=> fprica[c] + thf[c] ,1,4.0,3A0000269,,"PMID:11948179,PMID:14966129,PMID:9378707",2.1.2.3,MNXR95639,rxn03137,R04560,22195,http://identifiers.org/vmhreaction/AICART,K00602 K01492,COG0138,AICART,R_AICART,,,AICART,Purine synthesis,1,True,True,592010.4.peg.1698
12580,2018-05-31T16:06:56.524774Z,2019-02-01T14:52:52.491625Z,LYSDC,Lysine decarboxylase,h[c] + lys_L[c] -> 15dap[c] + co2[c] ,0,,,,,4.1.1.18,MNXR3346,rxn00322,,,http://identifiers.org/vmhreaction/LYSDC,K01582,COG1982,,,,,,Arginine and Proline Metabolism,1,False,True,592010.4.peg.769
11731,2018-05-31T16:06:56.524774Z,2019-02-01T14:54:03.149646Z,NCPTRCA,N-Carbamoylputrescine amidase,2.0 h[c] + h2o[c] + ncptrc[c] -> co2[c] + nh4[c] + ptrc[c] ,0,,,,,3.5.1.53,MNXR82011,rxn00853,,,http://identifiers.org/vmhreaction/NCPTRCA,K12251,COG0388,,,,,,Arginine and Proline Metabolism,1,False,True,592010.4.peg.1460
12270,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:47.102706Z,ASPT,L-aspartase,asp_L[c] -> fum[c] + nh4[c] ,0,,,,,4.3.1.1,MNXR96099,rxn00347,R00490,16604,http://identifiers.org/vmhreaction/ASPT,K01744,COG1027,,,,,,"Glycine, serine, alanine and threonine metabolism",1,False,True,592010.4.peg.2545
12270,2018-05-31T16:06:56.524774Z,2019-02-01T14:40:47.102706Z,ASPT,L-aspartase,asp_L[c] -> fum[c] + nh4[c] ,0,,,,,4.3.1.1,MNXR96099,rxn00347,R00490,16604,http://identifiers.org/vmhreaction/ASPT,K01744,COG1027,,,,,,"Glycine, serine, alanine and threonine metabolism",1,False,True,592010.4.peg.561
12280,2018-05-31T16:06:56.524774Z,2019-02-01T14:41:13.032320Z,CBPS,Carbamoyl-Phosphate Synthase (Glutamine-Hydrolysing),2.0 atp[c] + gln_L[c] + h2o[c] + hco3[c] -> 2.0 adp[c] + cbp[c] + glu_L[c] + 2.0 h[c] + pi[c] ,0,4.0,3A0000269,,,6.3.5.5,MNXR96485,rxn00414,R00575,18636,http://identifiers.org/vmhreaction/CBPS,K01954 K01955 K01956 K11540 K11541,COG0505 COG0458,CBPS,R_CBPS,,,CBPS,Pyrimidine synthesis,1,True,True,592010.4.peg.63
20241,2018-05-31T16:06:56.524774Z,2019-02-01T14:41:11.752299Z,CBMK,Carbamate kinase,atp[c] + co2[c] + nh4[c] -> adp[c] + cbp[c] + 2.0 h[c] ,0,,,,,,,,,,http://identifiers.org/vmhreaction/CBMK,,,,,,,,Arginine and Proline Metabolism,1,False,True,592010.4.peg.2899
12280,2018-05-31T16:06:56.524774Z,2019-02-01T14:41:13.032320Z,CBPS,Carbamoyl-Phosphate Synthase (Glutamine-Hydrolysing),2.0 atp[c] + gln_L[c] + h2o[c] + hco3[c] -> 2.0 adp[c] + cbp[c] + glu_L[c] + 2.0 h[c] + pi[c] ,0,4.0,3A0000269,,,6.3.5.5,MNXR96485,rxn00414,R00575,18636,http://identifiers.org/vmhreaction/CBPS,K01954 K01955 K01956 K11540 K11541,COG0505 COG0458,CBPS,R_CBPS,,,CBPS,Pyrimidine synthesis,1,True,True,592010.4.peg.64
12500,2018-05-31T16:06:56.524774Z,2019-02-01T14:47:23.350687Z,GK2,Guanylate kinase (GMPdATP),datp[c] + gmp[c] <=> dadp[c] + gdp[c] ,1,,,,,2.7.4.8,MNXR69139,rxn09562,,,http://identifiers.org/vmhreaction/GK2,K00942,COG0194,,,,,,Nucleotide interconversion,1,False,True,592010.4.peg.480
12500,2018-05-31T16:06:56.524774Z,2019-02-01T14:47:23.350687Z,GK2,Guanylate kinase (GMPdATP),datp[c] + gmp[c] <=> dadp[c] + gdp[c] ,1,,,,,2.7.4.8,MNXR69139,rxn09562,,,http://identifiers.org/vmhreaction/GK2,K00942,COG0194,,,,,,Nucleotide interconversion,1,False,True,592010.4.peg.1443
